#form factor calculations
#
# 200 bins for density calculation at every time step
# form factor averged over time steps 
#
# 21.9.2021 by R.Nencini
# POPC 40 % cholesterol
# simulations from http://doi.org/10.5281/zenodo.61992
#
# q ;  FF(q) ; error of mean over time steps
  0.3780  72.76700302 -4.08592435
  0.3790  74.00313210 -4.08827268
  0.3800  75.21173637 -4.09073123
  0.3810  76.39225958 -4.09329063
  0.3820  77.54416484 -4.09594355
  0.3830  78.66693481 -4.09868460
  0.3840  79.76007184 -4.10151020
  0.3850  80.82309818 -4.10441845
  0.3860  81.85555609 -4.10740898
  0.3870  82.85700799 -4.11048278
  0.3880  83.82703657 -4.11364202
  0.3890  84.76524488 -4.11688990
  0.3900  85.67125648 -4.12023040
  0.3910  86.54471544 -4.12366815
  0.3920  87.38528648 -4.12720818
  0.3930  88.19265497 -4.13085577
  0.3940  88.96652701 -4.13461621
  0.3950  89.70662942 -4.13849463
  0.3960  90.41270978 -4.14249584
  0.3970  91.08453644 -4.14662410
  0.3980  91.72189847 -4.15088298
  0.3990  92.32460567 -4.15527522
  0.4000  92.89248854 -4.15980254
  0.4010  93.42539820 -4.16446555
  0.4020  93.92320634 -4.16926361
  0.4030  94.38580517 -4.17419475
  0.4040  94.81310731 -4.17925556
  0.4050  95.20504571 -4.18444115
  0.4060  95.56157352 -4.18974510
  0.4070  95.88266401 -4.19515943
  0.4080  96.16831039 -4.20067457
  0.4090  96.41852571 -4.20627944
  0.4100  96.63334269 -4.21196143
  0.4110  96.81281355 -4.21770648
  0.4120  96.95700986 -4.22349916
  0.4130  97.06602234 -4.22932278
  0.4140  97.13996065 -4.23515949
  0.4150  97.17895323 -4.24099046
  0.4160  97.18314705 -4.24679599
  0.4170  97.15270740 -4.25255578
  0.4180  97.08781767 -4.25824902
  0.4190  96.98867908 -4.26385471
  0.4200  96.85551046 -4.26935181
  0.4210  96.68854798 -4.27471953
  0.4220  96.48804491 -4.27993755
  0.4230  96.25427128 -4.28498631
  0.4240  95.98751368 -4.28984721
  0.4250  95.68807492 -4.29450293
  0.4260  95.35627375 -4.29893763
  0.4270  94.99244457 -4.30313722
  0.4280  94.59693708 -4.30708960
  0.4290  94.17011602 -4.31078482
  0.4300  93.71236081 -4.31421534
  0.4310  93.22406525 -4.31737619
  0.4320  92.70563715 -4.32026508
  0.4330  92.15749802 -4.32288256
  0.4340  91.58008273 -4.32523208
  0.4350  90.97383915 -4.32732007
  0.4360  90.33922781 -4.32915597
  0.4370  89.67672151 -4.33075221
  0.4380  88.98680501 -4.33212417
  0.4390  88.26997462 -4.33329010
  0.4400  87.52673788 -4.33427105
  0.4410  86.75761312 -4.33509074
  0.4420  85.96312917 -4.33577535
  0.4430  85.14382492 -4.33635341
  0.4440  84.30024896 -4.33685557
  0.4450  83.43295922 -4.33731439
  0.4460  82.54252253 -4.33776409
  0.4470  81.62951431 -4.33824036
  0.4480  80.69451814 -4.33878007
  0.4490  79.73812537 -4.33942104
  0.4500  78.76093473 -4.34020178
  0.4510  77.76355198 -4.34116126
  0.4520  76.74658948 -4.34233865
  0.4530  75.71066579 -4.34377310
  0.4540  74.65640533 -4.34550347
  0.4550  73.58443796 -4.34756818
  0.4560  72.49539856 -4.35000494
  0.4570  71.38992672 -4.35285059
  0.4580  70.26866625 -4.35614091
  0.4590  69.13226491 -4.35991044
  0.4600  67.98137389 -4.36419233
  0.4610  66.81664756 -4.36901819
  0.4620  65.63874299 -4.37441797
  0.4630  64.44831960 -4.38041979
  0.4640  63.24603880 -4.38704990
  0.4650  62.03256358 -4.39433252
  0.4660  60.80855815 -4.40228975
  0.4670  59.57468757 -4.41094153
  0.4680  58.33161740 -4.42030550
  0.4690  57.08001328 -4.43039696
  0.4700  55.82054061 -4.44122882
  0.4710  54.55386418 -4.45281149
  0.4720  53.28064780 -4.46515289
  0.4730  52.00155398 -4.47825836
  0.4740  50.71724353 -4.49213062
  0.4750  49.42837525 -4.50676974
  0.4760  48.13560557 -4.52217314
  0.4770  46.83958824 -4.53833551
  0.4780  45.54097396 -4.55524886
  0.4790  44.24041005 -4.57290247
  0.4800  42.93854017 -4.59128292
  0.4810  41.63600396 -4.61037412
  0.4820  40.33343672 -4.63015732
  0.4830  39.03146913 -4.65061119
  0.4840  37.73072691 -4.67171190
  0.4850  36.43183055 -4.69343321
  0.4860  35.13539500 -4.71574658
  0.4870  33.84202937 -4.73862138
  0.4880  32.55233666 -4.76202503
  0.4890  31.26691348 -4.78592327
  0.4900  29.98634976 -4.81028044
  0.4910  28.71122852 -4.83505983
  0.4920  27.44212556 -4.86022405
  0.4930  26.17960925 -4.88573556
  0.4940  24.92424024 -4.91155723
  0.4950  23.67657125 -4.93765301
  0.4960  22.43714683 -4.96398882
  0.4970  21.20650314 -4.99053354
  0.4980  19.98516771 -5.01726034
  0.4990  18.77365925 -5.04414827
  0.5000  17.57248746 -5.07118446
  0.5010  16.38215283 -5.09836692
  0.5020  15.20314651 -5.12570847
  0.5030  14.03595014 -5.15324235
  0.5040  12.88103577 -5.18103029
  0.5050  11.73886579 -5.20917501
  0.5060  10.60989300 -5.23783980
  0.5070  9.49456078 -5.26728114
  0.5080  8.39330354 -5.29790546
  0.5090  7.30654771 -5.33037463
  0.5100  6.23471386 -5.36581699
  0.5110  5.17822142 -5.40629269
  0.5120  4.13750054 -5.45596057
  0.5130  3.11302669 -5.52459448
  0.5140  2.10545257 -5.64173782
