#Z                    :CA      sd(:CA)
     32.6250       3.0404       0.8622
     32.8750       3.0041       0.8633
     33.1250       3.0050       0.8559
     33.3750       2.9424       0.8468
     33.6250       2.9599       0.8503
     33.8750       2.8973       0.8442
     34.1250       2.8889       0.8433
     34.3750       2.8442       0.8315
     34.6250       2.8056       0.8258
     34.8750       2.8302       0.8274
     35.1250       2.7761       0.8280
     35.3750       2.8439       0.8332
     35.6250       2.7652       0.8205
     35.8750       2.7602       0.8213
     36.1250       2.7699       0.8247
     36.3750       2.7609       0.8220
     36.6250       2.7611       0.8225
     36.8750       2.7575       0.8197
     37.1250       2.7510       0.8212
     37.3750       2.7778       0.8198
     37.6250       2.7697       0.8228
     37.8750       2.7699       0.8288
     38.1250       2.7438       0.8211
     38.3750       2.7744       0.8238
     38.6250       2.7444       0.8153
     38.8750       2.7458       0.8215
     39.1250       2.7334       0.8148
     39.3750       2.7636       0.8222
     39.6250       2.7627       0.8196
     39.8750       2.7703       0.8225
     40.1250       2.7659       0.8189
     40.3750       2.7611       0.8211
     40.6250       2.7157       0.8177
     40.8750       2.6277       0.8141
     41.1250       2.4107       0.7940
     41.3750       2.1286       0.7720
     41.6250       1.6638       0.7095
     41.8750       1.0496       0.5909
     42.1250       0.5916       0.4653
     42.3750       0.2900       0.3304
     42.6250       0.1341       0.2208
     42.8750       0.0711       0.1648
     43.1250       0.0239       0.0977
     43.3750       0.0021       0.0250
     43.6250       0.0001       0.0050
     43.8750       0.0000       0.0000
