#Z                    :CA      sd(:CA)
     10.1250       0.0000       0.0000
     10.3750       0.0000       0.0000
     10.6250       0.0000       0.0000
     10.8750       0.0000       0.0000
     11.1250       0.0000       0.0000
     11.3750       0.0000       0.0000
     11.6250       0.0000       0.0000
     11.8750       0.0000       0.0000
     12.1250       0.0000       0.0000
     12.3750       0.0000       0.0000
     12.6250       0.0000       0.0000
     12.8750       0.0000       0.0000
     13.1250       0.0000       0.0000
     13.3750       0.0000       0.0001
     13.6250       0.0000       0.0001
     13.8750       0.0000       0.0001
     14.1250       0.0000       0.0002
     14.3750       0.0000       0.0002
     14.6250       0.0001       0.0003
     14.8750       0.0002       0.0004
     15.1250       0.0003       0.0006
     15.3750       0.0004       0.0006
     15.6250       0.0005       0.0007
     15.8750       0.0007       0.0009
     16.1250       0.0010       0.0011
     16.3750       0.0014       0.0013
     16.6250       0.0018       0.0014
     16.8750       0.0025       0.0016
     17.1250       0.0031       0.0018
     17.3750       0.0041       0.0021
     17.6250       0.0050       0.0023
     17.8750       0.0060       0.0025
     18.1250       0.0073       0.0028
     18.3750       0.0085       0.0030
     18.6250       0.0101       0.0033
     18.8750       0.0118       0.0036
     19.1250       0.0136       0.0038
     19.3750       0.0155       0.0041
     19.6250       0.0172       0.0043
     19.8750       0.0190       0.0046
     20.1250       0.0207       0.0048
     20.3750       0.0219       0.0048
     20.6250       0.0229       0.0050
     20.8750       0.0233       0.0050
     21.1250       0.0233       0.0049
     21.3750       0.0233       0.0049
     21.6250       0.0227       0.0049
     21.8750       0.0219       0.0048
     22.1250       0.0208       0.0046
     22.3750       0.0196       0.0045
     22.6250       0.0180       0.0043
     22.8750       0.0162       0.0041
     23.1250       0.0142       0.0039
     23.3750       0.0126       0.0036
     23.6250       0.0110       0.0034
     23.8750       0.0095       0.0032
     24.1250       0.0081       0.0029
     24.3750       0.0068       0.0027
     24.6250       0.0054       0.0024
     24.8750       0.0045       0.0022
     25.1250       0.0035       0.0019
     25.3750       0.0029       0.0018
     25.6250       0.0022       0.0016
     25.8750       0.0017       0.0014
     26.1250       0.0015       0.0013
     26.3750       0.0011       0.0011
     26.6250       0.0009       0.0010
     26.8750       0.0007       0.0009
     27.1250       0.0005       0.0008
     27.3750       0.0004       0.0006
     27.6250       0.0003       0.0006
     27.8750       0.0003       0.0006
     28.1250       0.0003       0.0005
     28.3750       0.0003       0.0005
     28.6250       0.0003       0.0006
     28.8750       0.0003       0.0006
     29.1250       0.0003       0.0006
     29.3750       0.0003       0.0006
     29.6250       0.0003       0.0006
     29.8750       0.0004       0.0006
     30.1250       0.0004       0.0007
     30.3750       0.0004       0.0006
     30.6250       0.0004       0.0007
     30.8750       0.0004       0.0007
     31.1250       0.0005       0.0007
     31.3750       0.0005       0.0008
     31.6250       0.0005       0.0008
     31.8750       0.0006       0.0008
     32.1250       0.0006       0.0008
     32.3750       0.0006       0.0008
     32.6250       0.0007       0.0008
     32.8750       0.0006       0.0008
     33.1250       0.0007       0.0008
     33.3750       0.0006       0.0008
     33.6250       0.0007       0.0009
     33.8750       0.0007       0.0009
     34.1250       0.0007       0.0009
     34.3750       0.0007       0.0009
     34.6250       0.0007       0.0009
     34.8750       0.0008       0.0009
     35.1250       0.0007       0.0009
     35.3750       0.0008       0.0009
     35.6250       0.0008       0.0009
     35.8750       0.0008       0.0009
     36.1250       0.0008       0.0009
     36.3750       0.0008       0.0009
     36.6250       0.0008       0.0010
     36.8750       0.0008       0.0010
     37.1250       0.0009       0.0010
     37.3750       0.0008       0.0010
     37.6250       0.0008       0.0010
     37.8750       0.0009       0.0010
     38.1250       0.0010       0.0010
     38.3750       0.0009       0.0010
     38.6250       0.0010       0.0010
     38.8750       0.0009       0.0010
     39.1250       0.0010       0.0010
     39.3750       0.0010       0.0010
     39.6250       0.0010       0.0010
     39.8750       0.0010       0.0010
     40.1250       0.0010       0.0010
     40.3750       0.0010       0.0010
     40.6250       0.0011       0.0011
     40.8750       0.0010       0.0010
     41.1250       0.0010       0.0011
     41.3750       0.0010       0.0010
     41.6250       0.0010       0.0010
     41.8750       0.0010       0.0010
     42.1250       0.0010       0.0010
     42.3750       0.0010       0.0010
     42.6250       0.0010       0.0011
     42.8750       0.0010       0.0011
     43.1250       0.0010       0.0010
     43.3750       0.0010       0.0010
     43.6250       0.0010       0.0010
     43.8750       0.0010       0.0010
     44.1250       0.0010       0.0010
     44.3750       0.0010       0.0010
     44.6250       0.0010       0.0010
     44.8750       0.0010       0.0010
     45.1250       0.0010       0.0011
     45.3750       0.0010       0.0010
     45.6250       0.0010       0.0010
     45.8750       0.0010       0.0010
     46.1250       0.0010       0.0010
     46.3750       0.0009       0.0010
     46.6250       0.0009       0.0010
     46.8750       0.0010       0.0010
     47.1250       0.0009       0.0010
     47.3750       0.0009       0.0010
     47.6250       0.0009       0.0010
     47.8750       0.0009       0.0010
     48.1250       0.0009       0.0010
     48.3750       0.0009       0.0010
     48.6250       0.0009       0.0010
     48.8750       0.0008       0.0009
     49.1250       0.0008       0.0009
