#form factor calculations
#
# 200 bins for density calculation at every time step
# form factor averged over time steps 
#
# 21.9.2021 by R.Nencini
# POPC 10 % cholesterol
# simulations from  http://doi.org/10.5281/zenodo.159759
#
# q ;  FF(q) ; error of mean over time steps
  0.3110  83.54332829 4.46044204
  0.3120  83.67511074 4.47458578
  0.3130  83.76301462 4.48703602
  0.3140  83.80733540 4.49769112
  0.3150  83.80838510 4.50645921
  0.3160  83.76649205 4.51325947
  0.3170  83.68200062 4.51802346
  0.3180  83.55527104 4.52069612
  0.3190  83.38667907 4.52123670
  0.3200  83.17661582 4.51961935
  0.3210  82.92548740 4.51583361
  0.3220  82.63371475 4.50988446
  0.3230  82.30173327 4.50179231
  0.3240  81.92999261 4.49159253
  0.3250  81.51895635 4.47933487
  0.3260  81.06910173 4.46508260
  0.3270  80.58091934 4.44891144
  0.3280  80.05491282 4.43090834
  0.3290  79.49159860 4.41117012
  0.3300  78.89150553 4.38980202
  0.3310  78.25517460 4.36691619
  0.3320  77.58315865 4.34263015
  0.3330  76.87602200 4.31706532
  0.3340  76.13434018 4.29034551
  0.3350  75.35869955 4.26259561
  0.3360  74.54969703 4.23394023
  0.3370  73.70793974 4.20450262
  0.3380  72.83404464 4.17440356
  0.3390  71.92863825 4.14376053
  0.3400  70.99235628 4.11268687
  0.3410  70.02584327 4.08129121
  0.3420  69.02975230 4.04967697
  0.3430  68.00474458 4.01794194
  0.3440  66.95148917 3.98617806
  0.3450  65.87066258 3.95447127
  0.3460  64.76294844 3.92290139
  0.3470  63.62903716 3.89154222
  0.3480  62.46962555 3.86046154
  0.3490  61.28541651 3.82972132
  0.3500  60.07711863 3.79937788
  0.3510  58.84544587 3.76948213
  0.3520  57.59111719 3.74007985
  0.3530  56.31485621 3.71121193
  0.3540  55.01739086 3.68291472
  0.3550  53.69945298 3.65522033
  0.3560  52.36177805 3.62815693
  0.3570  51.00510476 3.60174909
  0.3580  49.63017470 3.57601811
  0.3590  48.23773203 3.55098234
  0.3600  46.82852307 3.52665750
