#Experimental scattering data measured and shared by Georg Pabst and Peter Heftberger originally at
#http://nmrlipids.blogspot.com/p/about.html
#https://drive.google.com/folderview?id=0BypC9VEx1ib_flRzLTlsVFE1VG9PTjhCMVdROWFrVXpQb2Z3eXlsZXhsaUJSR2RucmNkenc&usp=sharing
#q[1/A]     |F(q)|[e/A^2]
      0.5214770            0.4074579
      0.5224930            0.3983617
      0.5235090            0.3893922
      0.5245250            0.3805533
      0.5255415            0.3718432
      0.5265580            0.3632696
      0.5275740            0.3548392
      0.5285900            0.3465504
      0.5296060            0.3384063
      0.5306230            0.3304008
      0.5316390            0.3225534
      0.5326550            0.3148571
      0.5336710            0.3073143
      0.5346875            0.2999243
      0.5357040            0.2926920
      0.5367200            0.2856237
      0.5377360            0.2787164
      0.5387526            0.2719682
      0.5397690            0.2653867
      0.5407850            0.2589737
      0.5418010            0.2527287
      0.5428170            0.2466520
      0.5438340            0.2407399
      0.5448500            0.2350043
      0.5458660            0.2294404
      0.5468820            0.2240498
      0.5478985            0.2188296
      0.5489150            0.2137833
      0.5499310            0.2089146
      0.5509470            0.2042202
      0.5519630            0.1997015
      0.5529799            0.1953543
      0.5539960            0.1911860
      0.5550120            0.1871935
      0.5560280            0.1833767
      0.5570445            0.1797331
      0.5580610            0.1762646
      0.5590770            0.1729722
      0.5600930            0.1698543
      0.5611090            0.1669096
      0.5621260            0.1641353
      0.5631420            0.1615354
      0.5641580            0.1591069
      0.5651740            0.1568490
      0.5661910            0.1547582
      0.5672070            0.1528378
      0.5682230            0.1510844
      0.5692390            0.1494968
      0.5702555            0.1480730
      0.5712720            0.1468125
      0.5722880            0.1457141
      0.5733040            0.1447757
      0.5743200            0.1439955
      0.5753370            0.1433715
      0.5763530            0.1429035
      0.5773690            0.1425882
      0.5783850            0.1424240
      0.5794015            0.1424093
      0.5804180            0.1425416
      0.5814340            0.1428191
      0.5824500            0.1432393
      0.5834661            0.1438006
      0.5844830            0.1445009
      0.5854990            0.1453365
      0.5865149            0.1463062
      0.5875310            0.1474073
      0.5885475            0.1486381
      0.5895640            0.1499953
      0.5905800            0.1514757
      0.5915960            0.1530774
      0.5926125            0.1547989
      0.5936290            0.1566362
      0.5946450            0.1585862
      0.5956610            0.1606468
      0.5966770            0.1628155
      0.5976940            0.1650912
      0.5987101            0.1674676
      0.5997260            0.1699426
      0.6007420            0.1725143
      0.6017585            0.1751816
      0.6027750            0.1779393
      0.6037910            0.1807841
      0.6048070            0.1837134
      0.6058230            0.1867247
      0.6068400            0.1898183
      0.6078560            0.1929850
      0.6088720            0.1962249
      0.6098880            0.1995350
      0.6109045            0.2029135
      0.6119210            0.2063565
      0.6129370            0.2098590
      0.6139530            0.2134198
      0.6149690            0.2170355
      0.6159860            0.2207073
      0.6170020            0.2244248
      0.6180180            0.2281885
      0.6190341            0.2319961
      0.6200510            0.2358472
      0.6210670            0.2397319
      0.6220829            0.2436510
      0.6230990            0.2476029
      0.6241155            0.2515850
      0.6251320            0.2555928
      0.6261480            0.2596216
      0.6271640            0.2636710
